Key,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD,H2X,SHAP,LIME,LEMNA,I-MAD
48,0.539285714,0.320408163,0.381802141,0.025,0.466131133,26.45822458,15.43916196,18.93630352,1.225,22.78965649,0.539963767,0.315084938,0.386455174,0.025,0.46509503
49,0.53925,0.32175,0.383280023,0.025,0.46612766,26.99747458,15.76091196,19.31958355,1.25,23.25578415,0.539949492,0.315218239,0.386391671,0.025,0.465115683
50,0.539460784,0.321323529,0.382962544,0.025,0.466332916,27.53693536,16.08223548,19.70254609,1.275,23.72211707,0.539939909,0.315337951,0.386324433,0.025,0.46513955
51,0.539423077,0.321875,0.383387558,0.025,0.466612111,28.07635844,16.40411048,20.08593365,1.3,24.18872918,0.53992997,0.315463663,0.386267955,0.025,0.465167869
52,0.539386792,0.320518868,0.38393685,0.025,0.46651947,28.61574523,16.72462935,20.4698705,1.325,24.65524865,0.539919721,0.315559044,0.386223972,0.025,0.465193371
53,0.538888889,0.32037037,0.384562492,0.025,0.466627266,29.15463412,17.04499972,20.85443299,1.35,25.12187592,0.539900632,0.315648143,0.386193204,0.025,0.465219924
54,0.538636364,0.321363636,0.384014635,0.025,0.466769826,29.69327048,17.36636336,21.23844762,1.375,25.58864574,0.539877645,0.315752061,0.386153593,0.025,0.465248104
55,0.538392857,0.321205357,0.384076874,0.025,0.466679331,30.23166334,17.68756872,21.6225245,1.4,26.05532507,0.539851131,0.315849441,0.386116509,0.025,0.465273662
56,0.538596491,0.321491228,0.38391763,0.025,0.466629339,30.77025983,18.00905994,22.00644213,1.425,26.52195441,0.53982912,0.31594842,0.386077932,0.025,0.465297446
57,0.537715517,0.321982759,0.384500456,0.025,0.466727806,31.30797535,18.3310427,22.39094259,1.45,26.98868222,0.539792678,0.31605246,0.386050734,0.025,0.465322107
58,0.538347458,0.321398305,0.38420534,0.025,0.466931122,31.84632281,18.65244101,22.77514793,1.475,27.45561334,0.539768183,0.316143068,0.386019456,0.025,0.465349379
59,0.538333333,0.320416667,0.384763943,0.025,0.466808511,32.38465614,18.97285767,23.15991187,1.5,27.92242185,0.539744269,0.316214295,0.385998531,0.025,0.465373698
60,0.538114754,0.320696721,0.384474183,0.025,0.466341123,32.92277089,19.2935544,23.54438605,1.525,28.38876298,0.539717556,0.316287777,0.385973542,0.025,0.465389557
61,0.538104839,0.321169355,0.384926213,0.025,0.466231984,33.46087573,19.61472375,23.92931226,1.55,28.85499496,0.539691544,0.316366512,0.385956649,0.025,0.465403145
62,0.538095238,0.323015873,0.385647697,0.025,0.466160081,33.99897097,19.93773962,24.31495996,1.575,29.32115504,0.539666206,0.316472058,0.385951745,0.025,0.465415159
63,0.538085938,0.3234375,0.38489539,0.025,0.466289894,34.53705691,20.26117712,24.69985535,1.6,29.78744493,0.539641514,0.316580893,0.38593524,0.025,0.465428827
64,0.537692308,0.323653846,0.384550845,0.025,0.466219313,35.07474922,20.58483097,25.0844062,1.625,30.25366425,0.539611526,0.316689707,0.385913941,0.025,0.465440988
65,0.537878788,0.323674242,0.385523074,0.025,0.46615087,35.612628,20.90850521,25.46992927,1.65,30.71981512,0.539585273,0.316795534,0.385908019,0.025,0.465451744
66,0.538246269,0.324067164,0.385366013,0.025,0.466020959,36.15087427,21.23257238,25.85529528,1.675,31.18583608,0.539565288,0.316904065,0.38589993,0.025,0.46546024
67,0.537316176,0.324264706,0.384911077,0.025,0.465926158,36.68819045,21.55683708,26.24020636,1.7,31.65176223,0.539532212,0.31701231,0.385885388,0.025,0.465467092
68,0.536775362,0.324094203,0.38391897,0.025,0.466204132,37.22496581,21.88093128,26.62412533,1.725,32.11796637,0.539492258,0.317114946,0.385856889,0.025,0.465477773
69,0.536785714,0.324464286,0.383678537,0.025,0.466443769,37.76175153,22.20539557,27.00780387,1.75,32.58441014,0.539453593,0.317219937,0.38582577,0.025,0.465491573
70,0.536443662,0.324471831,0.382553451,0.025,0.466646689,38.29819519,22.5298674,27.39035732,1.775,33.05105682,0.5394112,0.317322076,0.385779681,0.025,0.465507843
71,0.536458333,0.324305556,0.383041897,0.025,0.466873522,38.83465352,22.85417296,27.77339922,1.8,33.51793035,0.539370188,0.317419069,0.385741656,0.025,0.46552681
72,0.537157534,0.32380137,0.382129757,0.025,0.466482075,39.37181105,23.17797433,28.15552897,1.825,33.98441242,0.539339877,0.317506498,0.385692178,0.025,0.465539896
73,0.537162162,0.323817568,0.382268612,0.025,0.466474986,39.90897322,23.5017919,28.53779758,1.85,34.45088741,0.539310449,0.317591782,0.385645913,0.025,0.465552533
74,0.537666667,0.324166667,0.382171698,0.025,0.466496454,40.44663988,23.82595856,28.91996928,1.875,34.91738386,0.539288532,0.317679447,0.38559959,0.025,0.465565118
75,0.537993421,0.324013158,0.382139791,0.025,0.466545353,40.9846333,24.14997172,29.30210907,1.9,35.38392921,0.539271491,0.317762786,0.385554067,0.025,0.465578016
76,0.537824675,0.324512987,0.382273107,0.025,0.466399558,41.52245798,24.47448471,29.68438218,1.925,35.85032877,0.539252701,0.317850451,0.385511457,0.025,0.465588685
77,0.537820513,0.325,0.381591579,0.025,0.466557556,42.06027849,24.79948471,30.06597376,1.95,36.31688633,0.53923434,0.317942112,0.385461202,0.025,0.465601107
78,0.537974684,0.325316456,0.381728458,0.025,0.466469162,42.59825318,25.12480116,30.44770222,1.975,36.78335549,0.539218395,0.318035458,0.385413952,0.025,0.465612095
79,0.53796875,0.325625,0.381861916,0.025,0.466329787,43.13622193,25.45042616,30.82956413,2,37.24968528,0.539202774,0.318130327,0.385369552,0.025,0.465621066
80,0.537962963,0.325617284,0.382460901,0.025,0.466272656,43.67418489,25.77604345,31.21202503,2.025,37.71595793,0.539187468,0.318222759,0.385333642,0.025,0.46562911
81,0.537652439,0.325914634,0.382582172,0.025,0.466113129,44.21183733,26.10195808,31.59460721,2.05,38.18207106,0.539168748,0.318316562,0.385300088,0.025,0.465635013
82,0.5375,0.326204819,0.383243832,0.025,0.466316329,44.74933733,26.4281629,31.97785104,2.075,38.64838739,0.539148643,0.318411601,0.385275314,0.025,0.465643222
83,0.537202381,0.325892857,0.382599429,0.025,0.466362715,45.28653971,26.75405576,32.36045047,2.1,39.11475011,0.539125473,0.318500664,0.385243458,0.025,0.465651787
84,0.537352941,0.326029412,0.382863709,0.025,0.466533166,45.82389265,27.08008517,32.74331418,2.125,39.58128327,0.539104619,0.318589237,0.385215461,0.025,0.465662156
85,0.5375,0.325581395,0.38356341,0.025,0.466872835,46.36139265,27.40566656,33.12687759,2.15,40.04815611,0.539085961,0.318670541,0.385196251,0.025,0.465676234
86,0.537212644,0.324712644,0.383374044,0.025,0.466788946,46.89860529,27.73037921,33.51025163,2.175,40.51494505,0.539064429,0.318739991,0.385175306,0.025,0.465689024
87,0.537642045,0.323721591,0.383705021,0.025,0.466827853,47.43624734,28.0541008,33.89395665,2.2,40.98177291,0.539048265,0.3187966,0.385158598,0.025,0.465701965
88,0.537078652,0.323735955,0.38402856,0.025,0.466985417,47.97332599,28.37783675,34.27798521,2.225,41.44875832,0.539026135,0.318852098,0.385145901,0.025,0.465716386
89,0.537083333,0.323055556,0.383372687,0.025,0.467092199,48.51040932,28.70089231,34.6613579,2.25,41.91585052,0.539004548,0.318898803,0.385126199,0.025,0.465731672
90,0.537087912,0.323076923,0.382868592,0.025,0.466962824,49.04749724,29.02396923,35.04422649,2.275,42.38281335,0.538983486,0.318944717,0.38510139,0.025,0.465745202
91,0.53736413,0.323369565,0.382284302,0.025,0.46713691,49.58486137,29.3473388,35.42651079,2.3,42.84995026,0.538965884,0.318992813,0.385070769,0.025,0.465760329
92,0.536962366,0.323790323,0.382937567,0.025,0.467261496,50.12182373,29.67112912,35.80944836,2.325,43.31721175,0.538944341,0.319044399,0.385047832,0.025,0.46577647
93,0.536835106,0.324468085,0.382720146,0.025,0.467360797,50.65865884,29.99559721,36.19216851,2.35,43.78457255,0.538921903,0.319102098,0.385023069,0.025,0.465793325
94,0.536447368,0.324736842,0.382955337,0.025,0.467323628,51.19510621,30.32033405,36.57512384,2.375,44.25189618,0.538895855,0.319161411,0.385001304,0.025,0.465809433
95,0.536848958,0.325,0.383783928,0.025,0.46733156,51.73195516,30.64533405,36.95890777,2.4,44.71922774,0.538874533,0.31922223,0.384988623,0.025,0.465825289
96,0.536984536,0.325257732,0.384208836,0.025,0.467339329,52.2689397,30.97059178,37.34311661,2.425,45.18656707,0.538855048,0.319284451,0.384980584,0.025,0.465840898
97,0.536479592,0.325255102,0.384421636,0.025,0.467455493,52.80541929,31.29584688,37.72753824,2.45,45.65402256,0.538830809,0.319345376,0.38497488,0.025,0.465857373
98,0.536489899,0.325252525,0.383990833,0.025,0.467375887,53.34190919,31.62109941,38.11152908,2.475,46.12139845,0.538807164,0.319405045,0.38496494,0.025,0.465872712
99,0.536375,0.325,0.383062317,0.025,0.467255319,53.87828419,31.94609941,38.4945914,2.5,46.58865377,0.538782842,0.319460994,0.384945914,0.025,0.465886538
100,0.536386139,0.324752475,0.382904162,0.025,0.46738993,54.41467033,32.27085188,38.87749556,2.525,47.0560437,0.538759112,0.319513385,0.384925699,0.025,0.465901423
101,0.536151961,0.324019608,0.382581572,0.025,0.467313308,54.95082229,32.59487149,39.26007713,2.55,47.523357,0.538733552,0.319557564,0.384902717,0.025,0.465915265
102,0.535800971,0.324150485,0.382922737,0.025,0.467444743,55.48662326,32.91902198,39.64299987,2.575,47.99080175,0.53870508,0.319602155,0.384883494,0.025,0.465930114
103,0.535817308,0.324158654,0.382726364,0.025,0.467184943,56.02244057,33.24318063,40.02572623,2.6,48.45798669,0.538677313,0.319645968,0.384862752,0.025,0.46594218
104,0.535952381,0.323690476,0.38312897,0.025,0.46733536,56.55839295,33.56687111,40.4088552,2.625,48.92532205,0.538651361,0.319684487,0.38484624,0.025,0.465955448
105,0.536084906,0.323231132,0.383052282,0.025,0.467503011,57.09447786,33.89010224,40.79190748,2.65,49.39282506,0.53862715,0.319717946,0.384829316,0.025,0.465970048
106,0.535747664,0.323014019,0.38302139,0.025,0.467627759,57.63022552,34.21311626,41.17492887,2.675,49.86045282,0.538600239,0.31974875,0.384812419,0.025,0.46598554
107,0.535763889,0.323263889,0.383694305,0.025,0.467651694,58.16598941,34.53638015,41.55862318,2.7,50.32810451,0.538573976,0.319781298,0.384802066,0.025,0.466000968
108,0.536009174,0.323394495,0.383309698,0.025,0.467460472,58.70199858,34.85977464,41.94193287,2.725,50.79556499,0.538550446,0.319814446,0.384788375,0.025,0.466014358
109,0.536136364,0.323181818,0.383006882,0.025,0.467408124,59.23813495,35.18295646,42.32493976,2.75,51.26297311,0.5385285,0.319845059,0.38477218,0.025,0.466027028
